audio_id,status,processed_duration
audio_327,success,2.272
audio_328,success,3.296
audio_329,success,4.416
audio_33,success,1.92
audio_330,success,3.168
audio_331,success,3.2
audio_332,success,2.624
audio_333,success,3.168
audio_334,success,3.584
audio_335,success,4.032
audio_336,success,2.656
audio_337,success,2.496
audio_338,success,3.328
audio_339,success,2.496
audio_34,success,1.888
audio_340,success,3.168
audio_341,success,4.128
audio_342,success,3.264
audio_343,success,3.616
audio_344,success,3.904
audio_345,success,3.968
audio_346,success,2.751
audio_347,success,3.008
audio_348,success,2.49
audio_349,success,4.128
audio_35,success,1.664
audio_350,success,4.704
audio_351,success,3.264
audio_352,success,3.104
audio_353,success,3.552
audio_354,success,3.264
audio_355,success,3.936
audio_356,success,2.944
audio_357,success,4.128
audio_358,success,3.072
audio_359,success,3.04
audio_36,success,1.6
audio_360,success,4.032
audio_361,success,3.744
audio_362,success,3.104
audio_363,success,4.32
audio_364,success,3.104
audio_365,success,3.84
audio_366,success,3.84
audio_367,success,3.232
audio_368,success,2.816
audio_369,success,4.512
audio_37,success,1.408
audio_370,success,3.456
audio_371,success,3.2
audio_372,success,3.84
audio_373,success,3.36
audio_374,success,3.488
audio_375,success,3.744
audio_376,success,2.56
audio_377,success,2.08
audio_378,success,2.016
audio_379,success,2.272
audio_38,success,1.92
audio_380,success,2.912
audio_381,success,2.24
audio_382,success,2.4
audio_383,success,2.176
audio_384,success,2.272
audio_385,success,2.208
audio_386,success,1.984
audio_387,success,1.824
audio_388,success,2.496
audio_389,success,2.336
audio_39,success,1.472
audio_390,success,2.208
audio_391,success,2.464
audio_392,success,1.792
audio_393,success,2.592
audio_394,success,2.88
audio_395,success,3.168
audio_396,success,2.432
audio_397,success,2.208
audio_398,success,1.568
audio_399,success,2.784
audio_4,success,1.952
audio_40,success,1.248
audio_400,success,2.72
audio_401,success,2.266
audio_402,success,1.632
audio_403,success,2.208
audio_404,success,2.336
audio_405,success,2.24
audio_406,success,2.4
audio_407,success,2.528
audio_408,success,1.92
audio_409,success,2.24
audio_41,success,1.504
audio_410,success,2.56
audio_411,success,2.112
audio_412,success,2.016
audio_413,success,2.656
audio_414,success,2.208
audio_415,success,2.24
audio_416,success,1.92
audio_417,success,2.176
audio_418,success,1.696
audio_419,success,2.176
audio_42,success,1.376
audio_420,success,2.08
audio_421,success,1.824
audio_422,success,3.232
audio_423,success,2.112
audio_424,success,1.824
audio_425,success,2.048
audio_426,success,2.313
audio_427,success,1.536
audio_428,success,1.824
audio_429,success,1.76
audio_43,success,1.888
audio_430,success,2.24
audio_431,success,1.644
audio_432,success,2.4
audio_433,success,1.808
audio_434,success,2.048
audio_435,success,1.953
audio_436,success,1.762
audio_437,success,1.696
audio_438,success,2.208
audio_439,success,2.016
audio_44,success,1.824
audio_440,success,1.984
audio_441,success,2.048
audio_442,success,1.632
audio_443,success,2.016
audio_444,success,1.952
audio_445,success,2.432
audio_446,success,1.824
audio_447,success,1.952
audio_448,success,1.504
audio_449,success,2.208
audio_45,success,1.6
audio_450,success,2.06
audio_451,success,2.208
audio_452,success,1.952
audio_453,success,2.084
audio_454,success,2.816
audio_455,success,2.176
audio_456,success,2.272
audio_457,success,2.496
audio_458,success,2.304
audio_459,success,2.08
audio_46,success,2.208
audio_460,success,2.016
audio_461,success,2.464
audio_462,success,2.016
audio_463,success,2.015
audio_464,success,2.021
audio_465,success,2.107
audio_466,success,2.285
audio_467,success,2.368
audio_468,success,1.76
audio_469,success,2.4
audio_47,success,1.92
audio_470,success,2.08
audio_471,success,2.24
audio_472,success,2.464
audio_473,success,1.536
audio_474,success,2.56
audio_475,success,2.848
audio_476,success,2.592
audio_477,success,2.055
audio_478,success,1.856
audio_479,success,2.624
audio_48,success,1.12
audio_480,success,2.176
audio_481,success,2.437
audio_482,success,2.688
audio_483,success,1.792
audio_484,success,1.888
audio_485,success,2.592
audio_486,success,2.4
audio_487,success,2.002
audio_488,success,3.072
audio_489,success,2.72
audio_49,success,1.76
audio_490,success,2.496
audio_491,success,2.176
audio_492,success,1.856
audio_493,success,2.752
audio_494,success,2.944
audio_495,success,2.72
audio_496,success,2.208
audio_497,success,2.048
audio_498,success,1.824
audio_499,success,2.432
audio_5,success,2.208
audio_50,success,1.696
audio_500,success,2.72
audio_51,success,1.184
audio_52,success,2.048
audio_53,success,1.984
audio_54,success,1.6
audio_55,success,2.368
audio_56,success,1.6
audio_57,success,2.272
audio_58,success,1.44
audio_59,success,1.92
audio_6,success,1.664
audio_60,success,1.856
audio_61,success,1.568
audio_62,success,1.792
audio_63,success,1.824
audio_64,success,1.792
audio_65,success,1.92
audio_66,success,1.568
audio_67,success,1.344
audio_68,success,2.016
audio_69,success,2.112
audio_7,success,2.848
audio_70,success,1.792
audio_71,success,1.696
audio_72,success,1.504
audio_73,success,1.376
audio_74,success,1.536
audio_75,success,1.984
audio_76,success,1.728
audio_77,success,1.504
audio_78,success,1.728
audio_79,success,2.112
audio_8,success,2.176
audio_80,success,1.12
audio_81,success,1.76
audio_82,success,1.888
audio_83,success,1.504
audio_84,success,1.984
audio_85,success,1.376
audio_86,success,1.792
audio_87,success,1.664
audio_88,success,1.728
audio_89,success,1.344
audio_9,success,2.24
audio_90,success,1.12
audio_91,success,1.472
audio_92,success,1.92
audio_93,success,1.472
audio_94,success,1.536
audio_95,success,1.792
audio_96,success,1.824
audio_97,success,1.536
audio_98,success,1.44
audio_99,success,1.792
